epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3135,0.40987,0.98915,0.99889,0.65018,0.65337,0.7058,0.66625,0.33035,0.74124,0.88213,0.00331978,0.00331978,0.00331978
2,41.5193,0.4005,0.45177,0.97333,0.48064,0.59844,0.52585,0.4713,0.43118,0.90406,0.97666,0.00662018,0.00662018,0.00662018
3,60.4611,0.4752,0.50687,1.00849,0.53076,0.49651,0.5382,0.48241,0.45858,0.88212,0.96844,0.00988758,0.00988758,0.00988758
4,79.2703,0.51569,0.54642,1.03588,0.82064,0.5338,0.62842,0.56477,0.42261,0.79588,0.94342,0.0098515,0.0098515,0.0098515
5,97.9102,0.50189,0.51059,1.02369,0.46458,0.58127,0.46522,0.41588,0.49451,1.47363,1.00993,0.009802,0.009802,0.009802
6,116.774,0.49389,0.48599,1.02079,0.54525,0.66426,0.50235,0.44993,0.47332,1.29199,0.99655,0.0097525,0.0097525,0.0097525
7,135.352,0.47792,0.4609,1.01378,0.67453,0.66292,0.71332,0.65828,0.38046,0.59993,0.91846,0.009703,0.009703,0.009703
8,153.994,0.4623,0.43929,1.00403,0.72657,0.74915,0.77342,0.7026,0.37039,0.53939,0.90075,0.0096535,0.0096535,0.0096535
9,172.832,0.45057,0.41999,0.99374,0.79533,0.75289,0.79844,0.74731,0.35301,0.57845,0.88622,0.009604,0.009604,0.009604
10,191.946,0.44464,0.4126,0.99331,0.58499,0.66053,0.64677,0.60369,0.36027,0.64885,0.88708,0.0095545,0.0095545,0.0095545
11,210.697,0.43485,0.39951,0.98813,0.82665,0.77752,0.87971,0.82881,0.33974,0.44949,0.86612,0.009505,0.009505,0.009505
12,229.275,0.42794,0.37605,0.97867,0.90232,0.64151,0.76997,0.70483,0.36078,0.58325,0.89962,0.0094555,0.0094555,0.0094555
13,248.096,0.4299,0.3775,0.98052,0.76029,0.85204,0.84433,0.79982,0.32946,0.48544,0.8639,0.009406,0.009406,0.009406
14,267.015,0.41313,0.37186,0.97823,0.84087,0.67546,0.80152,0.73998,0.33053,0.52317,0.87135,0.0093565,0.0093565,0.0093565
