epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2509,0.3679,0.85434,0.98621,0.63111,0.51371,0.59412,0.55824,0.31666,0.81722,0.91432,0.00331978,0.00331978,0.00331978
2,63.8201,0.38504,0.44824,0.98246,0.70702,0.66487,0.70473,0.65016,0.37136,0.70117,0.92754,0.00662018,0.00662018,0.00662018
3,94.0095,0.4621,0.50557,1.01614,0.53773,0.65868,0.47967,0.43779,0.41044,1.57689,0.9436,0.00988758,0.00988758,0.00988758
4,124.12,0.51193,0.55968,1.05504,0.57927,0.68882,0.57862,0.51573,0.47233,1.10112,1.0199,0.0098515,0.0098515,0.0098515
5,154.046,0.50406,0.52933,1.05136,0.57207,0.78601,0.53296,0.47831,0.4403,1.14938,0.98783,0.009802,0.009802,0.009802
6,183.881,0.48833,0.49385,1.04049,0.50771,0.73348,0.48732,0.44537,0.44284,1.5739,0.99828,0.0097525,0.0097525,0.0097525
7,213.835,0.4733,0.46696,1.03615,0.64348,0.71253,0.6509,0.59618,0.38275,0.74994,0.93804,0.009703,0.009703,0.009703
8,243.679,0.46022,0.44167,1.0198,0.70623,0.77993,0.78473,0.73073,0.3509,0.57126,0.91397,0.0096535,0.0096535,0.0096535
9,273.834,0.44147,0.41811,1.01238,0.80334,0.8415,0.862,0.80638,0.34279,0.47844,0.90095,0.009604,0.009604,0.009604
10,303.807,0.4426,0.4187,1.01054,0.60111,0.55244,0.60327,0.56162,0.36032,0.80826,0.9055,0.0095545,0.0095545,0.0095545
11,333.817,0.43021,0.40385,1.00558,0.69649,0.83229,0.81387,0.76413,0.3567,0.57019,0.91041,0.009505,0.009505,0.009505
12,363.654,0.42153,0.38239,0.99496,0.6786,0.80581,0.76953,0.71494,0.32617,0.61502,0.87569,0.0094555,0.0094555,0.0094555
13,393.51,0.41526,0.3764,0.99637,0.69213,0.8016,0.77339,0.72882,0.3177,0.55872,0.87943,0.009406,0.009406,0.009406
14,423.538,0.40766,0.37379,0.99574,0.72883,0.79576,0.73253,0.69203,0.33148,0.67596,0.88896,0.0093565,0.0093565,0.0093565
15,453.426,0.40795,0.36625,0.9951,0.73992,0.80606,0.81278,0.77363,0.31629,0.50062,0.86895,0.009307,0.009307,0.009307
16,483.493,0.40211,0.35108,0.98766,0.55889,0.73687,0.65643,0.62882,0.3051,0.59674,0.87396,0.0092575,0.0092575,0.0092575
17,513.336,0.39624,0.35533,0.98058,0.76837,0.89416,0.81306,0.77089,0.31316,0.55364,0.86287,0.009208,0.009208,0.009208
18,543.326,0.39131,0.34161,0.98178,0.79387,0.92172,0.8993,0.86242,0.29538,0.44161,0.85728,0.0091585,0.0091585,0.0091585
19,573.556,0.38543,0.32988,0.97644,0.74435,0.80327,0.79715,0.75913,0.30008,0.5674,0.85725,0.009109,0.009109,0.009109
